dataset,model,split,step,tokens_seen,loss,perplexity,bits_per_byte,params,active_params
tiny_shakespeare,native-nanochat,train_eval,100,51200,3.263458013534546,26.139772722535657,4.708174692275637,475136,475136
tiny_shakespeare,native-nanochat,validation,100,51200,3.283651113510132,26.672981214293273,4.73730717747059,475136,475136
tiny_shakespeare,native-nanochat,test,100,51200,3.3095345497131348,27.372382023347438,4.774649082521829,475136,475136
tiny_shakespeare,nanochat-deepseekv4,train_eval,100,51200,3.091179847717285,22.003022883556145,4.459629836797628,778160,507824
tiny_shakespeare,nanochat-deepseekv4,validation,100,51200,3.1104063987731934,22.430158137464797,4.487367886659386,778160,507824
tiny_shakespeare,nanochat-deepseekv4,test,100,51200,3.128594160079956,22.841844982186114,4.5136072797015245,778160,507824
wikitext2,native-nanochat,train_eval,100,51200,3.1207921504974365,22.664326091280316,4.5023513591678554,475136,475136
wikitext2,native-nanochat,validation,100,51200,3.1243247985839844,22.744532767047144,4.507447893043524,475136,475136
wikitext2,native-nanochat,test,100,51200,3.120694875717163,22.662121531165532,4.502211021324752,475136,475136
wikitext2,nanochat-deepseekv4,train_eval,100,51200,3.0174670219421387,20.43945337234899,4.353284708601913,778160,507824
wikitext2,nanochat-deepseekv4,validation,100,51200,3.0210721492767334,20.51327318937327,4.358485807929306,778160,507824
wikitext2,nanochat-deepseekv4,test,100,51200,3.01953125,20.4816886421048,4.3562627601842525,778160,507824
