config,model,dataset,split,tokens_trained,n,loss_mean,loss_std,ppl_mean,ppl_std,bits_per_byte_mean,bits_per_byte_std
medium,deepseekv4,tiny_shakespeare,validation,204800,3,2.617617050806681,0.0059166064563065295,13.703191083150905,0.08120071136299091,3.776423138145193,0.008535858793405003
medium,deepseekv4,tiny_shakespeare,validation,409600,3,2.3094619115193686,0.01023642198362702,10.069356273001592,0.10280751087580431,3.3318492468709393,0.0147680352322255
medium,deepseekv4,tiny_shakespeare,validation,614400,3,2.103578249613444,0.026211577344721394,8.197326759419916,0.21603085351563547,3.0348219088392017,0.03781531264910718
medium,deepseekv4,tiny_shakespeare,validation,819200,3,1.9589063723882039,0.02368573160091846,7.092899472564041,0.16911821066369612,2.8261045090102512,0.03417128752047191
medium,deepseekv4,tiny_shakespeare,validation,1024000,3,1.8696260054906209,0.016638619761521388,6.4864707151823575,0.10843791691248211,2.6973001664383607,0.02400445421718392
medium,deepseekv4,tiny_shakespeare,validation,1228800,3,1.8006738821665447,0.01545206298186074,6.054208151262152,0.09376401088569367,2.5978232800599517,0.02229261463543441
medium,deepseekv4,tiny_shakespeare,validation,1433600,3,1.7344109217325847,0.012701845605228756,5.665893987179618,0.0719476255149147,2.5022260356472557,0.018324889664800864
medium,deepseekv4,tiny_shakespeare,validation,1638400,3,1.6949187517166138,0.0168678624505839,5.44672164603431,0.09231161933643256,2.445250877811271,0.024335181507854672
medium,deepseekv4,tiny_shakespeare,validation,1843200,3,1.6519083976745605,0.02443880256653646,5.217967486108332,0.12797433704574437,2.383200053327922,0.03525773926800668
medium,deepseekv4,tiny_shakespeare,validation,2048000,3,1.6066039403279622,0.02175085462786273,4.986636626279626,0.1084837181869018,2.31783953738382,0.03137985010671429
medium,deepseekv4,wikitext2,validation,204800,3,2.6136066913604736,0.0033338341019253873,13.648237522994846,0.045462676276800826,3.770637412459967,0.004809705925994237
medium,deepseekv4,wikitext2,validation,409600,3,2.3410609563191733,0.005632394852639707,10.39236630316722,0.058503818516785995,3.3774370321004454,0.008125828122231707
medium,deepseekv4,wikitext2,validation,614400,3,2.16360870997111,0.024659541050380828,8.70425586399248,0.2157172866286089,3.1214275562994875,0.03557619758398221
medium,deepseekv4,wikitext2,validation,819200,3,2.024498542149862,0.016313285851747503,7.572986240534899,0.12400585280651286,2.920734007046542,0.023535096598920318
medium,deepseekv4,wikitext2,validation,1024000,3,1.932204802831014,0.025592415498673388,6.906230852213532,0.17783576920144378,2.7875822870261415,0.036922050924305894
medium,deepseekv4,wikitext2,validation,1228800,3,1.8386046886444092,0.012055803710888718,6.288063889438118,0.07599401448885626,2.6525458664624857,0.017392848227629938
medium,deepseekv4,wikitext2,validation,1433600,3,1.7710444529851277,0.017494598713975816,5.877586075930331,0.10233049514527412,2.555077049515551,0.025239370806995478
medium,deepseekv4,wikitext2,validation,1638400,3,1.7182233333587646,0.013203040776698016,5.574938532016591,0.07332348124314324,2.478872282176394,0.019047961453196875
medium,deepseekv4,wikitext2,validation,1843200,3,1.6713184515635173,0.016036174682260953,5.3196312828885155,0.08504047205196376,2.4112028418169076,0.023135309688927127
medium,deepseekv4,wikitext2,validation,2048000,3,1.6380473772684734,0.014002698608347184,5.145448609156724,0.07175677489160401,2.3632028279263992,0.02020162384132518
medium,native,tiny_shakespeare,validation,204800,3,2.6614108085632324,0.008130610156738641,14.31678786905322,0.11625659162018526,3.839604175282462,0.011729990952528451
medium,native,tiny_shakespeare,validation,409600,3,2.3127485116322837,0.014804220254825109,10.102889288286582,0.14921022561831657,3.336590808555227,0.021357975145864166
medium,native,tiny_shakespeare,validation,614400,3,2.1345659097035727,0.013018160800406143,8.453853163014601,0.1098562523603278,3.0795276523799835,0.018781236028241048
medium,native,tiny_shakespeare,validation,819200,3,2.030181805292765,0.014919138444640063,7.616035570866889,0.11355384018178284,2.9289332225988756,0.021523767048417956
medium,native,tiny_shakespeare,validation,1024000,3,1.9540373086929321,0.021245657298950983,7.0581817171113395,0.14951136533985232,2.81907993496331,0.030651004425622925
