seed,config,model,dataset,split,tokens_trained,loss,ppl,bits_per_byte
42,medium,native,tiny_shakespeare,validation,204800,2.652543783187866,14.19008928398672,3.8268117617459843
42,medium,native,tiny_shakespeare,validation,409600,2.296576499938965,9.940094224395182,3.3132595274840773
42,medium,native,tiny_shakespeare,validation,614400,2.120497703552246,8.335284956428914,3.059231521131261
42,medium,native,tiny_shakespeare,validation,819200,2.014880418777466,7.499830488679643,2.906857988154528
42,medium,native,tiny_shakespeare,validation,1024000,1.9310709238052368,6.89689233422927,2.7859464453786846
42,medium,native,tiny_shakespeare,validation,1228800,1.8923885822296143,6.635198485314292,2.730139623017561
42,medium,native,tiny_shakespeare,validation,1433600,1.8277124166488647,6.219642421842872,2.6368316396705
42,medium,native,tiny_shakespeare,validation,1638400,1.790440320968628,5.992090328605067,2.5830593720690835
42,medium,native,tiny_shakespeare,validation,1843200,1.7552053928375244,5.7846357426984145,2.5322261159882613
42,medium,native,tiny_shakespeare,validation,2048000,1.7177767753601074,5.572126594171947,2.478228035166262
42,medium,param_matched,tiny_shakespeare,validation,204800,2.652543783187866,14.19008928398672,3.8268117617459843
42,medium,param_matched,tiny_shakespeare,validation,409600,2.296576499938965,9.940094224395182,3.3132595274840773
42,medium,param_matched,tiny_shakespeare,validation,614400,2.120497703552246,8.335284956428914,3.059231521131261
42,medium,param_matched,tiny_shakespeare,validation,819200,2.014880418777466,7.499830488679643,2.906857988154528
42,medium,param_matched,tiny_shakespeare,validation,1024000,1.9310709238052368,6.89689233422927,2.7859464453786846
42,medium,param_matched,tiny_shakespeare,validation,1228800,1.8923885822296143,6.635198485314292,2.730139623017561
42,medium,param_matched,tiny_shakespeare,validation,1433600,1.8277124166488647,6.219642421842872,2.6368316396705
42,medium,param_matched,tiny_shakespeare,validation,1638400,1.790440320968628,5.992090328605067,2.5830593720690835
42,medium,param_matched,tiny_shakespeare,validation,1843200,1.7552053928375244,5.7846357426984145,2.5322261159882613
42,medium,param_matched,tiny_shakespeare,validation,2048000,1.7177767753601074,5.572126594171947,2.478228035166262
42,medium,deepseekv4,tiny_shakespeare,validation,204800,2.6151206493377686,13.668865417974713,3.7728215921259247
42,medium,deepseekv4,tiny_shakespeare,validation,409600,2.317035436630249,10.145552545757429,3.3427755339904546
42,medium,deepseekv4,tiny_shakespeare,validation,614400,2.1329004764556885,8.439309364894088,3.0771249400923293
42,medium,deepseekv4,tiny_shakespeare,validation,819200,1.9862161874771118,7.287905457175014,2.8655042438066127
42,medium,deepseekv4,tiny_shakespeare,validation,1024000,1.8888330459594727,6.611648687330001,2.7250100684729266
42,medium,deepseekv4,tiny_shakespeare,validation,1228800,1.8174875974655151,6.15637171966794,2.6220803437406954
42,medium,deepseekv4,tiny_shakespeare,validation,1433600,1.7469403743743896,5.737022654050187,2.520302214838641
42,medium,deepseekv4,tiny_shakespeare,validation,1638400,1.714367389678955,5.553161413726329,2.4733093313515857
42,medium,deepseekv4,tiny_shakespeare,validation,1843200,1.6784842014312744,5.357429030019445,2.4215408336153716
42,medium,deepseekv4,tiny_shakespeare,validation,2048000,1.6285160779953003,5.09630658318272,2.3494520697317642
43,medium,native,tiny_shakespeare,validation,204800,2.668516159057617,14.41855846429412,3.849855029204489
43,medium,native,tiny_shakespeare,validation,409600,2.316037178039551,10.135429714213656,3.341335351272129
43,medium,native,tiny_shakespeare,validation,614400,2.146186590194702,8.552183155629452,3.096292750496291
43,medium,native,tiny_shakespeare,validation,819200,2.030978202819824,7.6215381236009945,2.93008218136174
43,medium,native,tiny_shakespeare,validation,1024000,1.972989559173584,7.192145725811017,2.8464222527454317
43,medium,native,tiny_shakespeare,validation,1228800,1.8884066343307495,6.60883000444698,2.7243948865307903
43,medium,native,tiny_shakespeare,validation,1433600,1.8385292291641235,6.287284303079246,2.65243700144449
43,medium,native,tiny_shakespeare,validation,1638400,1.793310523033142,6.009313543867164,2.5872001983539072
43,medium,native,tiny_shakespeare,validation,1843200,1.7651787996292114,5.842616922438708,2.5466147005073965
43,medium,native,tiny_shakespeare,validation,2048000,1.6988401412963867,5.467602066753332,2.450908247111403
43,medium,param_matched,tiny_shakespeare,validation,204800,2.668516159057617,14.41855846429412,3.849855029204489
43,medium,param_matched,tiny_shakespeare,validation,409600,2.316037178039551,10.135429714213656,3.341335351272129
43,medium,param_matched,tiny_shakespeare,validation,614400,2.146186590194702,8.552183155629452,3.096292750496291
43,medium,param_matched,tiny_shakespeare,validation,819200,2.030978202819824,7.6215381236009945,2.93008218136174
