seed,config,model,dataset,tokens_trained,layer,expert,count
42,medium,deepseekv4,tiny_shakespeare,204800,0,0,331
42,medium,deepseekv4,tiny_shakespeare,204800,0,1,241
42,medium,deepseekv4,tiny_shakespeare,204800,0,2,383
42,medium,deepseekv4,tiny_shakespeare,204800,0,3,871
42,medium,deepseekv4,tiny_shakespeare,204800,0,4,402
42,medium,deepseekv4,tiny_shakespeare,204800,0,5,695
42,medium,deepseekv4,tiny_shakespeare,204800,0,6,288
42,medium,deepseekv4,tiny_shakespeare,204800,0,7,885
42,medium,deepseekv4,tiny_shakespeare,204800,1,0,359
42,medium,deepseekv4,tiny_shakespeare,204800,1,1,419
42,medium,deepseekv4,tiny_shakespeare,204800,1,2,1001
42,medium,deepseekv4,tiny_shakespeare,204800,1,3,513
42,medium,deepseekv4,tiny_shakespeare,204800,1,4,648
42,medium,deepseekv4,tiny_shakespeare,204800,1,5,305
42,medium,deepseekv4,tiny_shakespeare,204800,1,6,482
42,medium,deepseekv4,tiny_shakespeare,204800,1,7,369
42,medium,deepseekv4,tiny_shakespeare,204800,2,0,492
42,medium,deepseekv4,tiny_shakespeare,204800,2,1,523
42,medium,deepseekv4,tiny_shakespeare,204800,2,2,491
42,medium,deepseekv4,tiny_shakespeare,204800,2,3,914
42,medium,deepseekv4,tiny_shakespeare,204800,2,4,343
42,medium,deepseekv4,tiny_shakespeare,204800,2,5,519
42,medium,deepseekv4,tiny_shakespeare,204800,2,6,470
42,medium,deepseekv4,tiny_shakespeare,204800,2,7,344
42,medium,deepseekv4,tiny_shakespeare,204800,3,0,492
42,medium,deepseekv4,tiny_shakespeare,204800,3,1,609
42,medium,deepseekv4,tiny_shakespeare,204800,3,2,507
42,medium,deepseekv4,tiny_shakespeare,204800,3,3,325
42,medium,deepseekv4,tiny_shakespeare,204800,3,4,959
42,medium,deepseekv4,tiny_shakespeare,204800,3,5,410
42,medium,deepseekv4,tiny_shakespeare,204800,3,6,587
42,medium,deepseekv4,tiny_shakespeare,204800,3,7,207
42,medium,deepseekv4,tiny_shakespeare,204800,4,0,428
42,medium,deepseekv4,tiny_shakespeare,204800,4,1,507
42,medium,deepseekv4,tiny_shakespeare,204800,4,2,541
42,medium,deepseekv4,tiny_shakespeare,204800,4,3,490
42,medium,deepseekv4,tiny_shakespeare,204800,4,4,564
42,medium,deepseekv4,tiny_shakespeare,204800,4,5,452
42,medium,deepseekv4,tiny_shakespeare,204800,4,6,462
42,medium,deepseekv4,tiny_shakespeare,204800,4,7,652
42,medium,deepseekv4,tiny_shakespeare,204800,5,0,500
42,medium,deepseekv4,tiny_shakespeare,204800,5,1,521
42,medium,deepseekv4,tiny_shakespeare,204800,5,2,715
42,medium,deepseekv4,tiny_shakespeare,204800,5,3,445
42,medium,deepseekv4,tiny_shakespeare,204800,5,4,670
42,medium,deepseekv4,tiny_shakespeare,204800,5,5,446
42,medium,deepseekv4,tiny_shakespeare,204800,5,6,514
42,medium,deepseekv4,tiny_shakespeare,204800,5,7,285
42,medium,deepseekv4,tiny_shakespeare,409600,0,0,379
42,medium,deepseekv4,tiny_shakespeare,409600,0,1,264
42,medium,deepseekv4,tiny_shakespeare,409600,0,2,348
42,medium,deepseekv4,tiny_shakespeare,409600,0,3,885
42,medium,deepseekv4,tiny_shakespeare,409600,0,4,394
42,medium,deepseekv4,tiny_shakespeare,409600,0,5,683
42,medium,deepseekv4,tiny_shakespeare,409600,0,6,290
42,medium,deepseekv4,tiny_shakespeare,409600,0,7,853
42,medium,deepseekv4,tiny_shakespeare,409600,1,0,362
42,medium,deepseekv4,tiny_shakespeare,409600,1,1,444
42,medium,deepseekv4,tiny_shakespeare,409600,1,2,893
42,medium,deepseekv4,tiny_shakespeare,409600,1,3,495
42,medium,deepseekv4,tiny_shakespeare,409600,1,4,648
42,medium,deepseekv4,tiny_shakespeare,409600,1,5,271
42,medium,deepseekv4,tiny_shakespeare,409600,1,6,573
42,medium,deepseekv4,tiny_shakespeare,409600,1,7,410
42,medium,deepseekv4,tiny_shakespeare,409600,2,0,503
42,medium,deepseekv4,tiny_shakespeare,409600,2,1,514
42,medium,deepseekv4,tiny_shakespeare,409600,2,2,532
42,medium,deepseekv4,tiny_shakespeare,409600,2,3,453
42,medium,deepseekv4,tiny_shakespeare,409600,2,4,803
42,medium,deepseekv4,tiny_shakespeare,409600,2,5,498
42,medium,deepseekv4,tiny_shakespeare,409600,2,6,341
42,medium,deepseekv4,tiny_shakespeare,409600,2,7,452
42,medium,deepseekv4,tiny_shakespeare,409600,3,0,590
42,medium,deepseekv4,tiny_shakespeare,409600,3,1,541
42,medium,deepseekv4,tiny_shakespeare,409600,3,2,542
42,medium,deepseekv4,tiny_shakespeare,409600,3,3,482
42,medium,deepseekv4,tiny_shakespeare,409600,3,4,377
42,medium,deepseekv4,tiny_shakespeare,409600,3,5,416
42,medium,deepseekv4,tiny_shakespeare,409600,3,6,574
42,medium,deepseekv4,tiny_shakespeare,409600,3,7,574
42,medium,deepseekv4,tiny_shakespeare,409600,4,0,445
42,medium,deepseekv4,tiny_shakespeare,409600,4,1,583
42,medium,deepseekv4,tiny_shakespeare,409600,4,2,571
42,medium,deepseekv4,tiny_shakespeare,409600,4,3,511
42,medium,deepseekv4,tiny_shakespeare,409600,4,4,486
42,medium,deepseekv4,tiny_shakespeare,409600,4,5,555
42,medium,deepseekv4,tiny_shakespeare,409600,4,6,514
42,medium,deepseekv4,tiny_shakespeare,409600,4,7,431
42,medium,deepseekv4,tiny_shakespeare,409600,5,0,473
42,medium,deepseekv4,tiny_shakespeare,409600,5,1,519
42,medium,deepseekv4,tiny_shakespeare,409600,5,2,583
42,medium,deepseekv4,tiny_shakespeare,409600,5,3,515
42,medium,deepseekv4,tiny_shakespeare,409600,5,4,494
42,medium,deepseekv4,tiny_shakespeare,409600,5,5,497
42,medium,deepseekv4,tiny_shakespeare,409600,5,6,492
42,medium,deepseekv4,tiny_shakespeare,409600,5,7,523
42,medium,deepseekv4,tiny_shakespeare,614400,0,0,373
42,medium,deepseekv4,tiny_shakespeare,614400,0,1,258
42,medium,deepseekv4,tiny_shakespeare,614400,0,2,379
42,medium,deepseekv4,tiny_shakespeare,614400,0,3,897
42,medium,deepseekv4,tiny_shakespeare,614400,0,4,400
42,medium,deepseekv4,tiny_shakespeare,614400,0,5,693
42,medium,deepseekv4,tiny_shakespeare,614400,0,6,290
42,medium,deepseekv4,tiny_shakespeare,614400,0,7,806
42,medium,deepseekv4,tiny_shakespeare,614400,1,0,346
42,medium,deepseekv4,tiny_shakespeare,614400,1,1,406
42,medium,deepseekv4,tiny_shakespeare,614400,1,2,986
42,medium,deepseekv4,tiny_shakespeare,614400,1,3,500
42,medium,deepseekv4,tiny_shakespeare,614400,1,4,657
42,medium,deepseekv4,tiny_shakespeare,614400,1,5,270
42,medium,deepseekv4,tiny_shakespeare,614400,1,6,516
42,medium,deepseekv4,tiny_shakespeare,614400,1,7,415
42,medium,deepseekv4,tiny_shakespeare,614400,2,0,547
42,medium,deepseekv4,tiny_shakespeare,614400,2,1,457
42,medium,deepseekv4,tiny_shakespeare,614400,2,2,506
42,medium,deepseekv4,tiny_shakespeare,614400,2,3,546
42,medium,deepseekv4,tiny_shakespeare,614400,2,4,573
42,medium,deepseekv4,tiny_shakespeare,614400,2,5,500
42,medium,deepseekv4,tiny_shakespeare,614400,2,6,516
42,medium,deepseekv4,tiny_shakespeare,614400,2,7,451
42,medium,deepseekv4,tiny_shakespeare,614400,3,0,556
42,medium,deepseekv4,tiny_shakespeare,614400,3,1,444
42,medium,deepseekv4,tiny_shakespeare,614400,3,2,479
42,medium,deepseekv4,tiny_shakespeare,614400,3,3,532
42,medium,deepseekv4,tiny_shakespeare,614400,3,4,710
42,medium,deepseekv4,tiny_shakespeare,614400,3,5,473
42,medium,deepseekv4,tiny_shakespeare,614400,3,6,509
42,medium,deepseekv4,tiny_shakespeare,614400,3,7,393
42,medium,deepseekv4,tiny_shakespeare,614400,4,0,567
42,medium,deepseekv4,tiny_shakespeare,614400,4,1,532
42,medium,deepseekv4,tiny_shakespeare,614400,4,2,758
42,medium,deepseekv4,tiny_shakespeare,614400,4,3,505
42,medium,deepseekv4,tiny_shakespeare,614400,4,4,406
42,medium,deepseekv4,tiny_shakespeare,614400,4,5,375
42,medium,deepseekv4,tiny_shakespeare,614400,4,6,563
42,medium,deepseekv4,tiny_shakespeare,614400,4,7,390
42,medium,deepseekv4,tiny_shakespeare,614400,5,0,519
42,medium,deepseekv4,tiny_shakespeare,614400,5,1,563
42,medium,deepseekv4,tiny_shakespeare,614400,5,2,555
42,medium,deepseekv4,tiny_shakespeare,614400,5,3,548
42,medium,deepseekv4,tiny_shakespeare,614400,5,4,551
42,medium,deepseekv4,tiny_shakespeare,614400,5,5,483
42,medium,deepseekv4,tiny_shakespeare,614400,5,6,496
42,medium,deepseekv4,tiny_shakespeare,614400,5,7,381
42,medium,deepseekv4,tiny_shakespeare,819200,0,0,384
42,medium,deepseekv4,tiny_shakespeare,819200,0,1,237
42,medium,deepseekv4,tiny_shakespeare,819200,0,2,389
42,medium,deepseekv4,tiny_shakespeare,819200,0,3,877
42,medium,deepseekv4,tiny_shakespeare,819200,0,4,422
42,medium,deepseekv4,tiny_shakespeare,819200,0,5,650
42,medium,deepseekv4,tiny_shakespeare,819200,0,6,282
42,medium,deepseekv4,tiny_shakespeare,819200,0,7,855
42,medium,deepseekv4,tiny_shakespeare,819200,1,0,392
42,medium,deepseekv4,tiny_shakespeare,819200,1,1,394
42,medium,deepseekv4,tiny_shakespeare,819200,1,2,940
42,medium,deepseekv4,tiny_shakespeare,819200,1,3,528
42,medium,deepseekv4,tiny_shakespeare,819200,1,4,620
42,medium,deepseekv4,tiny_shakespeare,819200,1,5,264
42,medium,deepseekv4,tiny_shakespeare,819200,1,6,528
42,medium,deepseekv4,tiny_shakespeare,819200,1,7,430
42,medium,deepseekv4,tiny_shakespeare,819200,2,0,512
42,medium,deepseekv4,tiny_shakespeare,819200,2,1,584
42,medium,deepseekv4,tiny_shakespeare,819200,2,2,491
42,medium,deepseekv4,tiny_shakespeare,819200,2,3,547
42,medium,deepseekv4,tiny_shakespeare,819200,2,4,503
