seed,config,model,dataset,split,tokens_trained,loss,ppl,bits_per_byte
42,small,native,tiny_shakespeare,validation,5120,5.257591247558594,192.0184089843874,7.585100819874002
42,small,native,tiny_shakespeare,validation,10240,4.678832530975342,107.64432776575336,6.750128489588083
42,small,native,tiny_shakespeare,validation,15360,4.227705001831055,68.55970708087307,6.099289040483129
42,small,native,tiny_shakespeare,validation,20480,3.898063898086548,49.306893461869116,5.623717454837765
42,small,native,tiny_shakespeare,validation,25600,3.6761820316314697,39.49531398709397,5.303609586439836
42,small,native,tiny_shakespeare,validation,30720,3.5369527339935303,34.36204918421293,5.102744169191127
42,small,native,tiny_shakespeare,validation,35840,3.453821897506714,31.62101393449295,4.982811723646646
42,small,native,tiny_shakespeare,validation,40960,3.403675079345703,30.074423091393484,4.910465157769395
42,small,native,tiny_shakespeare,validation,46080,3.347367525100708,28.427799587174334,4.829230528495555
42,small,native,tiny_shakespeare,validation,51200,3.283651113510132,26.672981214293273,4.73730717747059
42,small,param_matched,tiny_shakespeare,validation,5120,5.284582138061523,197.27173387396428,7.624040443751755
42,small,param_matched,tiny_shakespeare,validation,10240,4.837942600250244,126.20942119970576,6.979675797486484
42,small,param_matched,tiny_shakespeare,validation,15360,4.469927787780762,87.35041501836673,6.44874265256308
42,small,param_matched,tiny_shakespeare,validation,20480,4.164901256561279,64.38632440248206,6.00868238863317
42,small,param_matched,tiny_shakespeare,validation,25600,3.927187204360962,50.763987939137195,5.665733504374152
42,small,param_matched,tiny_shakespeare,validation,30720,3.749751567840576,42.51051970790132,5.409747991489215
42,small,param_matched,tiny_shakespeare,validation,35840,3.621760368347168,37.40335358120328,5.225095722702645
42,small,param_matched,tiny_shakespeare,validation,40960,3.534240961074829,34.26899333998874,5.0988319078493
42,small,param_matched,tiny_shakespeare,validation,46080,3.4760332107543945,32.33121624569816,5.014855875120706
42,small,param_matched,tiny_shakespeare,validation,51200,3.43654465675354,31.07938248551186,4.957885934091797
42,small,deepseekv4,tiny_shakespeare,validation,5120,5.329135894775391,206.25966707341777,7.688317927615825
42,small,deepseekv4,tiny_shakespeare,validation,10240,4.897727966308594,133.98501512985135,7.065927848616597
42,small,deepseekv4,tiny_shakespeare,validation,15360,4.379594326019287,79.80565176090013,6.318419015253467
42,small,deepseekv4,tiny_shakespeare,validation,20480,3.9658734798431396,52.76633960005497,5.721546002162754
42,small,deepseekv4,tiny_shakespeare,validation,25600,3.6875603199005127,39.94726941846659,5.320024986499389
42,small,deepseekv4,tiny_shakespeare,validation,30720,3.5037596225738525,33.240187892509795,5.054856631954284
42,small,deepseekv4,tiny_shakespeare,validation,35840,3.376460552215576,29.266998559649064,4.871202894438623
42,small,deepseekv4,tiny_shakespeare,validation,40960,3.275151252746582,26.447225393536502,4.72504447049877
42,small,deepseekv4,tiny_shakespeare,validation,46080,3.1847400665283203,24.161007335034316,4.594608700500795
42,small,deepseekv4,tiny_shakespeare,validation,51200,3.103602409362793,22.27806159741391,4.47755180487874
42,small,deepseekv4_no_hash,tiny_shakespeare,validation,5120,5.328242778778076,206.0755355028189,7.687029433595561
42,small,deepseekv4_no_hash,tiny_shakespeare,validation,10240,4.894158363342285,133.5075944305189,7.060778000119161
42,small,deepseekv4_no_hash,tiny_shakespeare,validation,15360,4.376091003417969,79.52655598409603,6.313364789109912
42,small,deepseekv4_no_hash,tiny_shakespeare,validation,20480,3.9632155895233154,52.626278672564744,5.717711476979117
42,small,deepseekv4_no_hash,tiny_shakespeare,validation,25600,3.68913197517395,40.010102117845626,5.322292405768365
42,small,deepseekv4_no_hash,tiny_shakespeare,validation,30720,3.5057849884033203,33.307579656683195,5.057778617192443
42,small,deepseekv4_no_hash,tiny_shakespeare,validation,35840,3.382105827331543,29.43268605405535,4.879347304852882
42,small,deepseekv4_no_hash,tiny_shakespeare,validation,40960,3.2828519344329834,26.651673241358804,4.736154205779206
42,small,deepseekv4_no_hash,tiny_shakespeare,validation,46080,3.1942360401153564,24.39153242031566,4.608308494503225
42,small,deepseekv4_no_hash,tiny_shakespeare,validation,51200,3.1128909587860107,22.485956499940624,4.490952349068668
42,small,deepseekv4_no_shared,tiny_shakespeare,validation,5120,5.327335834503174,205.88872120358207,7.6857209895877965
42,small,deepseekv4_no_shared,tiny_shakespeare,validation,10240,4.898468971252441,134.08433548235556,7.06699689277436
42,small,deepseekv4_no_shared,tiny_shakespeare,validation,15360,4.3867716789245605,80.38050558403381,6.328773746696616
42,small,deepseekv4_no_shared,tiny_shakespeare,validation,20480,3.975187063217163,53.26007897565769,5.734982662709363
42,small,deepseekv4_no_shared,tiny_shakespeare,validation,25600,3.7035446166992188,40.59092894721689,5.34308545222298
42,small,deepseekv4_no_shared,tiny_shakespeare,validation,30720,3.5279712677001953,34.054809394933855,5.089786652309821
42,small,deepseekv4_no_shared,tiny_shakespeare,validation,35840,3.4081060886383057,30.207978814388337,4.916857752901966
