seed,config,model,dataset,tokens_trained,layer,expert,count
42,small,deepseekv4,tiny_shakespeare,5120,0,0,253
42,small,deepseekv4,tiny_shakespeare,5120,0,1,258
42,small,deepseekv4,tiny_shakespeare,5120,0,2,190
42,small,deepseekv4,tiny_shakespeare,5120,0,3,323
42,small,deepseekv4,tiny_shakespeare,5120,1,0,210
42,small,deepseekv4,tiny_shakespeare,5120,1,1,246
42,small,deepseekv4,tiny_shakespeare,5120,1,2,305
42,small,deepseekv4,tiny_shakespeare,5120,1,3,263
42,small,deepseekv4,tiny_shakespeare,10240,0,0,255
42,small,deepseekv4,tiny_shakespeare,10240,0,1,254
42,small,deepseekv4,tiny_shakespeare,10240,0,2,201
42,small,deepseekv4,tiny_shakespeare,10240,0,3,314
42,small,deepseekv4,tiny_shakespeare,10240,1,0,276
42,small,deepseekv4,tiny_shakespeare,10240,1,1,280
42,small,deepseekv4,tiny_shakespeare,10240,1,2,207
42,small,deepseekv4,tiny_shakespeare,10240,1,3,261
42,small,deepseekv4,tiny_shakespeare,15360,0,0,256
42,small,deepseekv4,tiny_shakespeare,15360,0,1,240
42,small,deepseekv4,tiny_shakespeare,15360,0,2,219
42,small,deepseekv4,tiny_shakespeare,15360,0,3,309
42,small,deepseekv4,tiny_shakespeare,15360,1,0,217
42,small,deepseekv4,tiny_shakespeare,15360,1,1,257
42,small,deepseekv4,tiny_shakespeare,15360,1,2,257
42,small,deepseekv4,tiny_shakespeare,15360,1,3,293
42,small,deepseekv4,tiny_shakespeare,20480,0,0,269
42,small,deepseekv4,tiny_shakespeare,20480,0,1,259
42,small,deepseekv4,tiny_shakespeare,20480,0,2,195
42,small,deepseekv4,tiny_shakespeare,20480,0,3,301
42,small,deepseekv4,tiny_shakespeare,20480,1,0,196
42,small,deepseekv4,tiny_shakespeare,20480,1,1,268
42,small,deepseekv4,tiny_shakespeare,20480,1,2,263
42,small,deepseekv4,tiny_shakespeare,20480,1,3,297
42,small,deepseekv4,tiny_shakespeare,25600,0,0,256
42,small,deepseekv4,tiny_shakespeare,25600,0,1,253
42,small,deepseekv4,tiny_shakespeare,25600,0,2,200
42,small,deepseekv4,tiny_shakespeare,25600,0,3,315
42,small,deepseekv4,tiny_shakespeare,25600,1,0,303
42,small,deepseekv4,tiny_shakespeare,25600,1,1,264
42,small,deepseekv4,tiny_shakespeare,25600,1,2,203
42,small,deepseekv4,tiny_shakespeare,25600,1,3,254
42,small,deepseekv4,tiny_shakespeare,30720,0,0,249
42,small,deepseekv4,tiny_shakespeare,30720,0,1,264
42,small,deepseekv4,tiny_shakespeare,30720,0,2,203
42,small,deepseekv4,tiny_shakespeare,30720,0,3,308
42,small,deepseekv4,tiny_shakespeare,30720,1,0,242
42,small,deepseekv4,tiny_shakespeare,30720,1,1,277
