seed,config,model,dataset,params,active_params,n_layer,n_embd,n_head,seq_len,steps,batch_size
42,small,native,tiny_shakespeare,475136,475136,2,128,4,64,100,8
42,small,param_matched,tiny_shakespeare,503808,503808,4,96,4,64,100,8
42,small,deepseekv4,tiny_shakespeare,778160,507824,2,128,4,64,100,8
42,small,deepseekv4_no_hash,tiny_shakespeare,778160,507824,2,128,4,64,100,8
42,small,deepseekv4_no_shared,tiny_shakespeare,679856,409520,2,128,4,64,100,8
43,small,native,tiny_shakespeare,475136,475136,2,128,4,64,100,8
43,small,param_matched,tiny_shakespeare,503808,503808,4,96,4,64,100,8
43,small,deepseekv4,tiny_shakespeare,778160,507824,2,128,4,64,100,8
43,small,deepseekv4_no_hash,tiny_shakespeare,778160,507824,2,128,4,64,100,8
43,small,deepseekv4_no_shared,tiny_shakespeare,679856,409520,2,128,4,64,100,8
44,small,native,tiny_shakespeare,475136,475136,2,128,4,64,100,8
44,small,param_matched,tiny_shakespeare,503808,503808,4,96,4,64,100,8
44,small,deepseekv4,tiny_shakespeare,778160,507824,2,128,4,64,100,8
44,small,deepseekv4_no_hash,tiny_shakespeare,778160,507824,2,128,4,64,100,8
44,small,deepseekv4_no_shared,tiny_shakespeare,679856,409520,2,128,4,64,100,8
42,small,native,wikitext2,475136,475136,2,128,4,64,100,8
42,small,param_matched,wikitext2,503808,503808,4,96,4,64,100,8
42,small,deepseekv4,wikitext2,778160,507824,2,128,4,64,100,8
42,small,deepseekv4_no_hash,wikitext2,778160,507824,2,128,4,64,100,8
42,small,deepseekv4_no_shared,wikitext2,679856,409520,2,128,4,64,100,8
43,small,native,wikitext2,475136,475136,2,128,4,64,100,8
43,small,param_matched,wikitext2,503808,503808,4,96,4,64,100,8
43,small,deepseekv4,wikitext2,778160,507824,2,128,4,64,100,8
43,small,deepseekv4_no_hash,wikitext2,778160,507824,2,128,4,64,100,8
43,small,deepseekv4_no_shared,wikitext2,679856,409520,2,128,4,64,100,8
44,small,native,wikitext2,475136,475136,2,128,4,64,100,8
44,small,param_matched,wikitext2,503808,503808,4,96,4,64,100,8
44,small,deepseekv4,wikitext2,778160,507824,2,128,4,64,100,8
44,small,deepseekv4_no_hash,wikitext2,778160,507824,2,128,4,64,100,8
44,small,deepseekv4_no_shared,wikitext2,679856,409520,2,128,4,64,100,8
