seed,config,model,dataset,split,tokens_trained,loss,ppl,bits_per_byte
42,small,native,tiny_shakespeare,train,51200,3.2659313678741455,26.204505663585206,4.711742988315739
42,small,native,tiny_shakespeare,validation,51200,3.283651113510132,26.672981214293273,4.73730717747059
42,small,native,tiny_shakespeare,test,51200,3.3095345497131348,27.372382023347438,4.774649082521829
42,small,param_matched,tiny_shakespeare,train,51200,3.411656141281128,30.315409308539795,4.9219793962446605
42,small,param_matched,tiny_shakespeare,validation,51200,3.43654465675354,31.07938248551186,4.957885934091797
42,small,param_matched,tiny_shakespeare,test,51200,3.464151620864868,31.949343116073088,4.99771436430921
42,small,deepseekv4,tiny_shakespeare,train,51200,3.08699631690979,21.911164838918978,4.453594277648249
42,small,deepseekv4,tiny_shakespeare,validation,51200,3.103602409362793,22.27806159741391,4.47755180487874
42,small,deepseekv4,tiny_shakespeare,test,51200,3.1220970153808594,22.693919277859294,4.5042338812641995
42,small,deepseekv4_no_hash,tiny_shakespeare,train,51200,3.0972931385040283,22.13794575179618,4.4684494510991755
42,small,deepseekv4_no_hash,tiny_shakespeare,validation,51200,3.1128909587860107,22.485956499940624,4.490952349068668
42,small,deepseekv4_no_hash,tiny_shakespeare,test,51200,3.131166934967041,22.900687569238674,4.517319009272446
42,small,deepseekv4_no_shared,tiny_shakespeare,train,51200,3.1531691551208496,23.410137501801902,4.549061503176892
42,small,deepseekv4_no_shared,tiny_shakespeare,validation,51200,3.170142412185669,23.81087507374515,4.573548736972041
42,small,deepseekv4_no_shared,tiny_shakespeare,test,51200,3.191296339035034,24.319933896799327,4.604067402332948
43,small,native,tiny_shakespeare,train,51200,3.2475674152374268,25.727678974215973,4.685249404915624
43,small,native,tiny_shakespeare,validation,51200,3.2666876316070557,26.224330676381623,4.712834046252812
43,small,native,tiny_shakespeare,test,51200,3.291637659072876,26.886859130067617,4.748829327147795
43,small,param_matched,tiny_shakespeare,train,51200,3.4015355110168457,30.010145595805927,4.90737841315171
43,small,param_matched,tiny_shakespeare,validation,51200,3.4245104789733887,30.70760915130094,4.9405242854871965
43,small,param_matched,tiny_shakespeare,test,51200,3.448831081390381,31.463592426191898,4.975611497985623
43,small,deepseekv4,tiny_shakespeare,train,51200,3.119847059249878,22.642916353731014,4.500987880711815
43,small,deepseekv4,tiny_shakespeare,validation,51200,3.133317708969116,22.949994778016393,4.520421920259312
43,small,deepseekv4,tiny_shakespeare,test,51200,3.150677442550659,23.351878780055667,4.545466721808558
43,small,deepseekv4_no_hash,tiny_shakespeare,train,51200,3.120243549346924,22.651895825851756,4.501559895008585
43,small,deepseekv4_no_hash,tiny_shakespeare,validation,51200,3.1346144676208496,22.979774686806092,4.522292747535398
43,small,deepseekv4_no_hash,tiny_shakespeare,test,51200,3.1513373851776123,23.36729476655588,4.546418817763734
43,small,deepseekv4_no_shared,tiny_shakespeare,train,51200,3.1397740840911865,23.098647917186845,4.529736500630042
43,small,deepseekv4_no_shared,tiny_shakespeare,validation,51200,3.1543641090393066,23.438128257842404,4.550785457269141
43,small,deepseekv4_no_shared,tiny_shakespeare,test,51200,3.173748254776001,23.896888323122045,4.578750868195339
44,small,native,tiny_shakespeare,train,51200,3.250748872756958,25.809660833700793,4.689839277901851
44,small,native,tiny_shakespeare,validation,51200,3.2699978351593018,26.31128238346931,4.717609660501971
44,small,native,tiny_shakespeare,test,51200,3.2929491996765137,26.9221454721981,4.7507214802725874
44,small,param_matched,tiny_shakespeare,train,51200,3.40555477142334,30.131006909634948,4.9131769802082
44,small,param_matched,tiny_shakespeare,validation,51200,3.429596185684204,30.864176836437515,4.947861409338306
44,small,param_matched,tiny_shakespeare,test,51200,3.456245183944702,31.697733628068804,4.986307786973385
44,small,deepseekv4,tiny_shakespeare,train,51200,3.090380907058716,21.98545079442597,4.458477209071546
44,small,deepseekv4,tiny_shakespeare,validation,51200,3.1061434745788574,22.33474359064143,4.481217787064532
44,small,deepseekv4,tiny_shakespeare,test,51200,3.118011236190796,22.601386098527975,4.498339347888527
44,small,deepseekv4_no_hash,tiny_shakespeare,train,51200,3.0982608795166016,22.159379919523108,4.469845606258879
44,small,deepseekv4_no_hash,tiny_shakespeare,validation,51200,3.1140832901000977,22.512783199981765,4.492672519542598
44,small,deepseekv4_no_hash,tiny_shakespeare,test,51200,3.1277005672454834,22.821442790167804,4.512318097750657
44,small,deepseekv4_no_shared,tiny_shakespeare,train,51200,3.1261982917785645,22.78718443573009,4.510150772384484
44,small,deepseekv4_no_shared,tiny_shakespeare,validation,51200,3.141552448272705,23.139762272597167,4.532302137815614
44,small,deepseekv4_no_shared,tiny_shakespeare,test,51200,3.1603682041168213,23.579276317504448,4.559447535462498
42,small,native,wikitext2,train,51200,3.118309259414673,22.608122840280032,4.498769304515685
42,small,native,wikitext2,validation,51200,3.1243247985839844,22.744532767047144,4.507447893043524
42,small,native,wikitext2,test,51200,3.120694875717163,22.662121531165532,4.502211021324752
42,small,param_matched,wikitext2,train,51200,3.266064167022705,26.207985830702256,4.7119345769888
42,small,param_matched,wikitext2,validation,51200,3.273397207260132,26.400876418194734,4.722513917773974
42,small,param_matched,wikitext2,test,51200,3.2684743404388428,26.271227802887957,4.715411722223944
42,small,deepseekv4,wikitext2,train,51200,3.0052552223205566,20.19136872640787,4.335666805847526
42,small,deepseekv4,wikitext2,validation,51200,3.0103631019592285,20.294767657439486,4.3430359184716965
